Date,Speed,Voltage,PWM,Current,Power,Battery level,Total mileage,Temperature,Pitch,Roll
24.11.2021 12:23:22.384,1.65,54.08,3.09,0.73,39.48,75,2562.980,18.0,0.00,0.00
24.11.2021 12:23:22.594,1.65,54.08,3.09,0.73,39.48,75,2562.980,18.0,0.00,0.00
24.11.2021 12:23:22.955,1.65,54.08,3.09,0.73,39.48,75,2562.980,18.0,0.00,0.00
24.11.2021 12:23:23.165,1.65,54.13,0.00,0.73,39.48,75,2562.980,18.0,0.00,0.00
24.11.2021 12:23:23.464,0.00,54.13,0.00,0.10,5.41,75,2562.980,18.0,0.00,0.00
24.11.2021 12:23:23.675,0.00,54.13,0.00,0.10,5.41,75,2562.980,18.0,0.00,0.00
24.11.2021 12:23:23.883,0.00,54.13,0.00,0.10,5.41,75,2562.980,18.0,0.00,0.00
24.11.2021 12:23:24.094,0.00,54.13,0.00,0.10,5.41,75,2562.980,18.0,0.00,0.00
24.11.2021 12:23:24.305,0.00,54.13,0.00,0.10,5.41,75,2562.980,18.0,0.00,0.00
24.11.2021 12:23:24.574,0.00,54.13,0.00,0.10,5.41,75,2562.980,18.0,0.00,0.00
24.11.2021 12:23:24.784,0.00,54.13,0.00,0.09,4.87,75,2562.980,18.0,0.00,0.00
24.11.2021 12:23:25.000,0.00,54.13,0.00,0.09,4.87,75,2562.980,18.0,0.00,0.00
24.11.2021 12:23:25.293,0.00,54.13,0.00,0.09,4.87,75,2562.980,18.0,0.00,0.00
24.11.2021 12:23:25.572,0.21,54.13,0.39,0.09,4.87,75,2562.980,18.0,0.00,0.00
24.11.2021 12:23:25.876,0.21,54.13,0.39,0.09,4.87,75,2562.980,18.0,0.00,0.00
24.11.2021 12:23:26.081,3.22,53.90,6.06,2.05,110.49,75,2562.980,18.0,0.00,0.00
24.11.2021 12:23:26.411,3.22,53.90,6.06,2.05,110.49,75,2562.980,18.0,0.00,0.00
24.11.2021 12:23:26.675,3.22,53.90,6.06,2.05,110.49,75,2562.980,18.0,0.00,0.00
24.11.2021 12:23:26.892,3.22,53.90,6.06,2.05,110.49,75,2562.980,18.0,0.00,0.00
24.11.2021 12:23:27.189,5.21,53.47,9.88,3.40,181.80,75,2562.981,19.0,0.00,0.00
24.11.2021 12:23:27.396,5.21,53.47,9.88,3.40,181.80,75,2562.981,19.0,0.00,0.00
24.11.2021 12:23:27.639,5.21,53.47,9.88,3.40,181.80,75,2562.981,19.0,0.00,0.00
24.11.2021 12:23:27.882,7.65,53.35,14.54,7.27,387.85,75,2562.982,19.0,0.00,0.00
24.11.2021 12:23:28.090,7.65,53.35,14.54,7.27,387.85,75,2562.982,19.0,0.00,0.00
24.11.2021 12:23:28.295,7.65,53.35,14.54,7.27,387.85,75,2562.982,19.0,0.00,0.00
24.11.2021 12:23:28.594,10.03,53.18,19.12,11.90,632.84,75,2562.984,19.0,0.00,0.00
24.11.2021 12:23:28.894,10.03,53.18,19.12,11.90,632.84,75,2562.984,19.0,0.00,0.00
24.11.2021 12:23:29.139,10.03,53.18,19.12,11.90,632.84,75,2562.984,19.0,0.00,0.00
24.11.2021 12:23:29.426,10.03,53.18,19.12,11.90,632.84,75,2562.984,19.0,0.00,0.00
